Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
car_base,8.17360748943693E-06,0.0225033135182252,0.309234562686189,0,0,0,467.35674418477,64.8069935901443,0.00212233959160385,0.000377899491888436,42.2474032259228,-1.35082963675343,71.07249676203,0,0,0,0,0,0,package://car/meshes/car_base.STL,1,1,1,1,0,0,0,0,0,0,package://car/meshes/car_base.STL,,chassis-1,base_ref,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_link,-0.0302810536928205,-1.57602927597367E-07,-0.0596388691423392,0,0,0,22.0857399703979,0.449028451992821,6.93791933276389E-07,-0.089417115684792,0.511080423522968,1.48767205100447E-06,0.0782450703993529,0,0,0,0,0,0,package://car/meshes/front_left_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://car/meshes/front_left_link.STL,,ljoint-3,front_left_link_ref,front_left_link_axis,front_left_link_joint,revolute,-0.226923394459318,0.571499952460419,-0.141727116336277,0,0,0,car_base,0,0,-1,0,0,-3.14,3.14,,,,,,,,
front_left_wheel_link,1.11022302462516E-16,0,-5.55111512312578E-17,0,0,0,7.3496247708411,0.0906847049156055,1.07344434113594E-17,1.23758777359568E-17,0.0533439440680032,-1.21762951284243E-18,0.0533439440680032,0,0,0,0,0,0,package://car/meshes/front_left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car/meshes/front_left_wheel_link.STL,,wheel-4,front_left_wheel_ref,front_left_wheel_axis,front_left_wheel_joint,continuous,-0.135026605540682,0,-0.201172883663723,0,0,0,front_left_link,-1,0,0,,,,,,,,,,,,
front_right_link,0.0302810477941478,1.59129334043051E-07,-0.0596388540396011,0,0,0,22.0857375944756,0.449028402346045,6.87962679542649E-07,0.0894171011576155,0.511080374205065,-1.48053144395073E-06,0.0782450716846731,0,0,0,0,0,0,package://car/meshes/front_right_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://car/meshes/front_right_link.STL,,ljoint-2,front_right_link_ref,Axis_front_right_link_joint,front_right_link_joint,revolute,0.226923394459318,0.571500047539581,-0.141727116336277,0,0,0,car_base,0,0,-1,0,0,-3.14,3.14,,,,,,,,
front_right_wheel_link,0,1.11022302462516E-16,0,0,0,0,7.3496247708411,0.0906847049156055,9.39437570537247E-18,-1.29519688547819E-18,0.0533439440680032,-1.05123654803329E-17,0.0533439440680032,0,0,0,0,0,0,package://car/meshes/front_right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car/meshes/front_right_wheel_link.STL,,wheel-3,front_right_wheel_ref,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,0.135026605540682,0,-0.201172883663723,0,0,0,front_right_link,1,0,0,,,,,,,,,,,,
back_left_link,-0.030281047794148,-1.59129333932029E-07,-0.0596388540396016,0,0,0,22.0857375944756,0.449028402346046,6.87962679582659E-07,-0.0894171011576162,0.511080374205066,1.48053144421654E-06,0.0782450716846736,0,0,0,0,0,0,package://car/meshes/back_left_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://car/meshes/back_left_link.STL,,ljoint-4,back_left_link_ref,Axis_front_left_link_joint,back_left_link_joint,fixed,-0.226923394459318,-0.571500047539581,-0.141727116336277,0,0,0,car_base,0,0,0,0,0,0,0,,,,,,,,
back_left_wheel_link,-5.55111512312578E-17,0,5.55111512312578E-17,0,0,0,7.3496247708411,0.0906847049156055,1.16728879108185E-17,1.46089168868516E-17,0.0533439440680032,3.50935558688986E-18,0.0533439440680032,0,0,0,0,0,0,package://car/meshes/back_left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car/meshes/back_left_wheel_link.STL,,wheel-2,back_left_wheel_ref,Axis_back_left_wheel_joint,back_left_wheel_joint,continuous,-0.135026605540682,0,-0.201172883663723,0,0,0,back_left_link,1,0,0,,,,,,,,,,,,
back_right_link,0.0302810536830883,1.60601976939567E-07,-0.0596388620002727,0,0,0,22.085738575115,0.449028429484416,6.93622098580479E-07,0.0894171172118593,0.511080405225745,-1.47928401332883E-06,0.0782450691149714,0,0,0,0,0,0,package://car/meshes/back_right_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://car/meshes/back_right_link.STL,,ljoint-1,back_right_link_ref,back_right_link_axis,back_right_link_joint,fixed,0.226923394459318,-0.571499952460419,-0.141727116336277,0,0,0,car_base,0,0,0,0,0,0,0,,,,,,,,
back_right_wheel_link,0,0,0,0,0,0,7.3496247708411,0.0906847049156055,4.78658898105718E-18,-5.99241206672733E-17,0.0533439440680032,3.45592186866502E-18,0.0533439440680032,0,0,0,0,0,0,package://car/meshes/back_right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://car/meshes/back_right_wheel_link.STL,,wheel-1,back_right_wheel_ref,Axis_back_right_wheel_link_joint,back_right_wheel_link_joint,continuous,0.135026605540682,0,-0.201172883663723,0,0,0,back_right_link,-1,0,0,0,0,0,0,,,,,,,,
lidar_link,1.61148018215131E-18,0,0.0134984647974684,0,0,0,0.32505499039827,0.000188345405804832,-7.12242001146989E-37,-1.26754330848409E-21,0.000188345405804832,-3.71428618776296E-37,0.000212769340423724,0,0,0,0,0,0,package://car/meshes/lidar_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://car/meshes/lidar_link.STL,,lidar-1,lidar_ref,Axis_lidar_joint,lidar_joint,fixed,0,0.1524,0.655447,0,0,0,car_base,0,0,0,,,,,,,,,,,,
